" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Прочие алк.товары (ром, текила и пр.)" ;" 4141" ;" бренди Стумари 0.5 3*" ;" 2" ;" 234,00" ;" " ;" " ;" 234,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4142" ;" бренди Струмари 0.5 5*" ;" 1" ;" 136,00" ;" " ;" " ;" 136,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4162" ;" Лікер Зел.Яблоко 0.75" ;" 1" ;" 181,00" ;" " ;" " ;" 181,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4167" ;" бальзам Вітязь 0.25" ;" 2" ;" 70,00" ;" " ;" " ;" 70,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4168" ;" бальзам Вітязь 0.5" ;" 2" ;" 140,00" ;" " ;" " ;" 140,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4193" ;" напій Кабукі слива бел.0.7" ;" 1" ;" 45,80" ;" " ;" " ;" 45,80" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4221" ;" бренді Шустов 150 0.5" ;" 3" ;" 294,00" ;" " ;" " ;" 294,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4331" ;" вино Виногр.Такадо (гранат)0.7" ;" 2" ;" 100,00" ;" " ;" " ;" 100,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4384" ;" ликер Дейлис ліс. горіх 0.5" ;" 1" ;" 97,00" ;" " ;" " ;" 97,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4385" ;" ликер Дейлис оригин.0.5" ;" 1" ;" 97,00" ;" " ;" " ;" 97,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4386" ;" ликер Дейлис Тірамісу 0.5" ;" 2" ;" 194,00" ;" " ;" " ;" 194,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4463" ;" Лікер Wild Africa" 0.7" ;" 1" ;" 412,00" ;" " ;" " ;" 412,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4508" ;" напій плод/ягід. Стигла Годжи 0.5" ;" 3" ;" 87,00" ;" " ;" " ;" 87,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4533" ;" настойка Корень колгану Немір.0.5" ;" 2" ;" 110,00" ;" " ;" " ;" 110,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4650" ;" бренді ГУРДЖИ 5* 0.5" ;" 1" ;" 161,00" ;" " ;" " ;" 161,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4665" ;" ЧАЧА классик 0.5" ;" 1" ;" 170,00" ;" " ;" " ;" 170,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4673" ;" вермут Моя (сливка)0.5" ;" 1" ;" 33,60" ;" " ;" " ;" 33,60" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4691" ;" лікер шоклад/вишня 0.5" ;" 1" ;" 87,00" ;" " ;" " ;" 87,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4692" ;" лікер шоколад/ваниль 0.5" ;" 1" ;" 87,00" ;" " ;" " ;" 87,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4707" ;" Лікер Дейлис 0.5 (шокол)" ;" 1" ;" 97,00" ;" " ;" " ;" 97,00" 
" Прочие алк.товары (ром, текила и пр.)" ;" 4745" ;" бренді Одеса VS 0.375" ;" 2" ;" 142,00" ;" " ;" " ;" 142,00" 
" Сувенирные товары" ;" 63" ;" Пакет карт.К/Арт на 3 бут." ;" 88" ;" 704,00" ;" " ;" " ;" 704,00" 
" Сувенирные товары" ;" 907" ;" пакет п/эт" ;" 2 109" ;" 8 436,00" ;" " ;" " ;" 8 436,00" 
" Сувенирные товары" ;" 2810" ;" тубус" ;" 131" ;" 3 013,00" ;" " ;" " ;" 3 013,00" 
"  Прочие товары" ;" 1648" ;" Орбіт Вінтерфреш" ;" 3" ;" 27,00" ;" " ;" " ;" 27,00" 
"  Прочие товары" ;" 1650" ;" Орбіт Білосніжний" ;" 1" ;" 9,00" ;" " ;" " ;" 9,00" 
"  Прочие товары" ;" 1651" ;" Орбіт Освіжаюча м*ята" ;" 7" ;" 63,00" ;" " ;" " ;" 63,00" 
"  Прочие товары" ;" 3056" ;" Орбіт Белоснежный" Bubblemint"" ;" 1" ;" 9,00" ;" " ;" " ;" 9,00" 
"  Прочие товары" ;" 3208" ;" Орбит солодка мята" ;" 4" ;" 36,00" ;" " ;" " ;" 36,00" 
"  Прочие товары" ;" 3466" ;" Орбіт Эвкаліпт " ;" 1" ;" 9,00" ;" " ;" " ;" 9,00" 
