" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Вино - Грузия - Красное п/слад" ;" 832" ;" вино KV  Мерани 0,75 чер." ;" 1" ;" 168,00" ;" " ;" " ;" 168,00" 
" Вино - Грузия - Красное п/слад" ;" 1031" ;" вино Алаз. долина кр.0.75 КV" ;" 1" ;" 164,00" ;" " ;" " ;" 164,00" 
" Вино - Грузия - Красное п/слад" ;" 4472" ;" вино Бадагони Піросмані чер.н/сол.0.75" ;" 1" ;" 136,00" ;" " ;" " ;" 136,00" 
" Вино - Италия - Красное п/сух" ;" 4684" ;" вино Каберне делле Венецие 0.75" ;" 1" ;" 130,00" ;" " ;" " ;" 130,00" 
" Вино - НовыйСвет - Белое п/слад" ;" 3348" ;" вино "молоко кох жінки" 0.75" ;" 2" ;" 334,00" ;" " ;" " ;" 334,00" 
" Вино - НовыйСвет - Белое п/слад" ;" 3366" ;" вино "Гевюрцтрамінер" 0.75" ;" 4" ;" 644,00" ;" " ;" " ;" 644,00" 
" Вино - НовыйСвет - Белое п/слад" ;" 4607" ;" Вино Гевюрцтраминер Вила Вольф бел п.слад 0.75" ;" 1" ;" 195,00" ;" " ;" " ;" 195,00" 
" Вино - НовыйСвет - Белое п/слад" ;" 4727" ;" вино Веселі Монашки 0.75" ;" 3" ;" 312,00" ;" " ;" " ;" 312,00" 
" Вино - НовыйСвет - Белое п/сух" ;" 291" ;" Вино Gazela Vinho Verde Branco, Sogrape Vinhos п/сух.бел" ;" 2" ;" 310,00" ;" " ;" " ;" 310,00" 
" Вино - НовыйСвет - Белое п/сух" ;" 3454" ;" вино "Фетяска"0.75" ;" 1" ;" 60,50" ;" " ;" " ;" 60,50" 
" Вино - Украина - Белое крепленое" ;" 2273" ;" вино"Клеопатра"Коблево 0.75" ;" 3" ;" 161,40" ;" " ;" " ;" 161,40" 
" Вино - Украина - Белое крепленое" ;" 3461" ;" вино "Мікадо"(слива бел.)0.7" ;" 3" ;" 156,00" ;" " ;" " ;" 156,00" 
" Вино - Украина - Белое крепленое" ;" 3463" ;" вино"Мікадо"(абрикос)0.7" ;" 4" ;" 208,00" ;" " ;" " ;" 208,00" 
" Вино - Украина - Белое крепленое" ;" 3596" ;" вино Троянда Котнар 0.75" ;" 1" ;" 88,00" ;" " ;" " ;" 88,00" 
